#p01    #fam01  #n01    #color01
47677   1       1589    4
47861   1       1595    5
47879   1       1595    6
47887   1       1596    7
47899   1       1596    8
47957   1       1598    1
47983   1       1599    2
48097   1       1603    3
48191   1       1606    4
48307   1       1610    5
48323   1       1610    6
48373   1       1612    7
48467   1       1615    8
48469   1       1615    1
48517   1       1617    2
48521   1       1617    3
48727   1       1624    4
48749   1       1624    5
48763   1       1625    6
48851   1       1628    7
48937   1       1631    8
48977   1       1632    1
49013   1       1633    2
49039   1       1634    3
49147   1       1638    4
49153   1       1638    5
49181   1       1639    6
49357   1       1645    7
49487   1       1649    8
49511   1       1650    1
49543   1       1651    2
49567   1       1652    3
49609   1       1653    4
49619   1       1653    5
49703   1       1656    6
49777   1       1659    7
49841   1       1661    8
49933   1       1664    1
49987   1       1666    2
49997   1       1666    3
50171   1       1672    4
50179   1       1672    5
50197   1       1673    6
50323   1       1677    7
50393   1       1679    8
50407   1       1680    1
50489   1       1682    2
50501   1       1683    3
50507   1       1683    4
50617   1       1687    5
50713   1       1690    6
50749   1       1691    7
50827   1       1694    8
50831   1       1694    1
51017   1       1700    2
51037   1       1701    3
51083   1       1702    4
51103   1       1703    5
51161   1       1705    6
51247   1       1708    7
51319   1       1710    8
51359   1       1711    1
51457   1       1715    2
51491   1       1716    3
51493   1       1716    4
51527   1       1717    5
51667   1       1722    6
51773   1       1725    7
51821   1       1727    8
51877   1       1729    1
51883   1       1729    2
51889   1       1729    3
52037   1       1734    4
52087   1       1736    5
52151   1       1738    6
52229   1       1740    7
52273   1       1742    8
52297   1       1743    1
52459   1       1748    2
52463   1       1748    3
52481   1       1749    4
52507   1       1750    5
52547   1       1751    6
52663   1       1755    7
52717   1       1757    8
52811   1       1760    1
52927   1       1764    2
53029   1       1767    3
53053   1       1768    4
53057   1       1768    5
53099   1       1769    6
53137   1       1771    7
53141   1       1771    8
53153   1       1771    1
53347   1       1778    2
53443   1       1781    3
53471   1       1782    4
53557   1       1785    5
53567   1       1785    6
53599   1       1786    7
53767   1       1792    8
53801   1       1793    1
53833   1       1794    2
53843   1       1794    3
53969   1       1798    4
53977   1       1799    5
54077   1       1802    6
54131   1       1804    7
54169   1       1805    8
54187   1       1806    1
54223   1       1807    2
54397   1       1813    3
54461   1       1815    4
54533   1       1817    5
54587   1       1819    6
54607   1       1820    7
54613   1       1820    8
54739   1       1824    1
54791   1       1826    2
54817   1       1827    3
54839   1       1827    4
55003   1       1833    5
55027   1       1834    6
55097   1       1836    7
55121   1       1837    8
55223   1       1840    1
55237   1       1841    2
55309   1       1843    3
55393   1       1846    4
55447   1       1848    5
55451   1       1848    6
55607   1       1853    7
55657   1       1855    8
55709   1       1856    1
55781   1       1859    2
55783   1       1859    3
55867   1       1862    4
55879   1       1862    5
55913   1       1863    6
56077   1       1869    7
56111   1       1870    8
56117   1       1870    1
56173   1       1872    2
56287   1       1876    3
56441   1       1881    4
56449   1       1881    5
56497   1       1883    6
56563   1       1885    7
56579   1       1885    8
56603   1       1886    1
56627   1       1887    2
56707   1       1890    3
56771   1       1892    4
56917   1       1897    5
56953   1       1898    6
57019   1       1900    7
57101   1       1903    8
57127   1       1904    1
57137   1       1904    2
57293   1       1909    3
57337   1       1911    4
57343   1       1911    5
57431   1       1914    6
57449   1       1914    7
57547   1       1918    8
57589   1       1919    1
57647   1       1921    2
57733   1       1924    3
57757   1       1925    4
57761   1       1925    5
57967   1       1932    6
57983   1       1932    7
58091   1       1936    8
58123   1       1937    1
58157   1       1938    2
58159   1       1938    3
58177   1       1939    4
58319   1       1943    5
58387   1       1946    6
58421   1       1947    7
58513   1       1950    8
58597   1       1953    1
58667   1       1955    2
58673   1       1955    3
58729   1       1957    4
58751   1       1958    5
58807   1       1960    6
58903   1       1963    7
59017   1       1967    8
59081   1       1969    1
59177   1       1972    2
59189   1       1972    3
59227   1       1974    4
59293   1       1976    5
59299   1       1976    6
59363   1       1978    7
59411   1       1980    8
59437   1       1981    1
59647   1       1988    2
59683   1       1989    3
59687   1       1989    4
59741   1       1991    5
59857   1       1995    6
59869   1       1995    7
60053   1       2001    8
60059   1       2001    1
60067   1       2002    2
60071   1       2002    3
60073   1       2002    4
60197   1       2006    5
60277   1       2009    6
60401   1       2013    7
60439   1       2014    8
60463   1       2015    1
60487   1       2016    2
60697   1       2023    3
60707   1       2023    4
60731   1       2024    5
60743   1       2024    6
60853   1       2028    7
60907   1       2030    8
60929   1       2030    1
61009   1       2033    2
61061   1       2035    3
61117   1       2037    4
61217   1       2040    5
61243   1       2041    6
61327   1       2044    7
61391   1       2046    8
61433   1       2047    1
61537   1       2051    2
61579   1       2052    3
61633   1       2054    4
61721   1       2057    5
61727   1       2057    6
61747   1       2058    7
61799   1       2059    8
61957   1       2065    1
62023   1       2067    2
62051   1       2068    3
62123   1       2070    4
62149   1       2071    5
62167   1       2072    6
62237   1       2074    7
62377   1       2079    8
62381   1       2079    1
62413   1       2080    2
62587   1       2086    3
62669   1       2088    4
62711   1       2090    5
